Date,Description,Category,Amount
01/08/2026,CAPITAL ONE TRAVEL BOOKING,Travel,425.00
01/10/2026,UBER TRIP 182934,Travel,18.75
01/12/2026,WHOLE FOODS MKT #842,Groceries,96.30
01/14/2026,AIRBNB *HMCF8291,Travel,285.00
01/15/2026,STARBUCKS #2918,Dining,7.45
01/17/2026,AMAZON.COM*1F84K2,Shopping,89.99
01/19/2026,SOUTHWEST AIR 1842931,Travel,198.00
01/20/2026,CHEVRON GAS #18429,Gas,47.80
01/22/2026,DOORDASH *THAI KITCHEN,Dining,34.20
01/24/2026,THE HOME DEPOT #912,Shopping,156.42
01/25/2026,CVS/PHARMACY #1842,Drugstore,22.10
01/27/2026,CAPITAL ONE LOUNGE DFW,Travel,0.00
01/28/2026,TARGET #1294,Shopping,67.85
01/30/2026,LYFT *RIDE FRI,Travel,24.50
02/01/2026,HILTON GARDEN INN AUSTIN,Travel,198.00
02/03/2026,TRADER JOES #412,Groceries,72.15
02/05/2026,UBER EATS 4F1829,Dining,26.80
02/07/2026,COSTCO GAS #1182,Gas,52.30
02/08/2026,NORDSTROM ONLINE,Shopping,145.00
02/10/2026,ALDI FOODS #891,Groceries,48.90
02/12/2026,CAPITAL ONE TRAVEL FLIGHTS,Travel,312.00
02/14/2026,RUTH'S CHRIS STEAKHOUSE,Dining,178.00
