Date,Reference,Description,Amount
01/10/2026,320418271,GRUBHUB *ORDER 84219,34.50
01/11/2026,320418385,WHOLE FOODS MKT #10842,92.15
01/12/2026,320418490,UBER EATS 7F1293,21.80
01/14/2026,320418612,TRADER JOES #579 NYC,78.40
01/15/2026,320418741,SWEETGREEN NYC UNION SQ,17.25
01/16/2026,320418856,STOP & SHOP #2481,65.90
01/18/2026,320419012,DOORDASH*CHIPOTLE,16.40
01/19/2026,320419148,ALDI FOODS #441,43.20
01/20/2026,320419267,TAO RESTAURANT NYC,128.00
01/21/2026,320419389,AMAZON.COM*3F82K1,45.99
01/22/2026,320419502,DUNKIN #18423 NYC,5.85
01/24/2026,320419634,WEGMANS FOOD MKT,88.70
01/25/2026,320419751,RESY *CARBONE NYC,215.00
01/26/2026,320419867,CVS/PHARMACY #4218,18.90
01/27/2026,320419982,UBER EATS 2K4189,29.60
01/29/2026,320420115,KROGER #512,72.35
01/30/2026,320420238,DELTA AIR LINES 0084127,198.00
01/31/2026,320420352,FIVE GUYS #1842 NYC,19.50
02/01/2026,320420478,COSTCO WHSE #1182,156.80
02/02/2026,320420591,SHAKE SHACK DELIVERY,24.30
02/03/2026,320420718,PUBLIX SUPER MKT #241,67.45
02/05/2026,320420842,CHEESECAKE FACTORY NYC,82.00
02/06/2026,320420967,INSTACART ALDI,51.20
02/08/2026,320421089,NOBU DOWNTOWN NYC,165.00
02/09/2026,320421215,FRESH DIRECT NYC,98.60
